AuthorId,RecipeId,Rating,Like,TestSetId
2492191A,33671,True,,1.0
2002019979A,92647,True,,2.0
408594E,161770,False,,3.0
2001625557E,108231,True,,4.0
2001427116E,71109,False,,5.0
2001382952C,148927,False,,6.0
588901B,87380,True,,7.0
1038235B,9475,True,,8.0
2001651474C,106171,True,,9.0
1803780486A,223201,False,,10.0
1253053D,91246,True,,11.0
770900C,316025,False,,12.0
770900C,78579,False,,13.0
2000830025E,395405,True,,14.0
334917D,135585,False,,15.0
452294B,26345,True,,16.0
184723B,247483,False,,17.0
2002387639C,29884,False,,18.0
1020399E,61718,False,,19.0
2293840E,163034,True,,20.0
2002023650C,28785,False,,21.0
975069A,54752,False,,22.0
975069A,252449,False,,23.0
693153C,50575,True,,24.0
2560001B,271830,False,,25.0
2560001B,339,True,,26.0
2002452043A,217463,False,,27.0
2001532404E,44147,True,,28.0
2001532404E,148641,False,,29.0
2001605139B,26194,False,,30.0
2001447886A,205660,True,,31.0
2000221123C,261889,False,,32.0
1413501D,269553,True,,33.0
729622E,218856,True,,34.0
911464D,78088,False,,35.0
1802641315A,27144,False,,36.0
387442C,11642,True,,37.0
2001708541E,69846,False,,38.0
2002342147B,264573,True,,39.0
186899B,249564,True,,40.0
1601235B,148303,True,,41.0
1601235B,10269,False,,42.0
1601235B,50767,True,,43.0
1391890B,272988,False,,44.0
1128887C,317761,True,,45.0
1495552B,59462,False,,46.0
2001688957C,227219,True,,47.0
653210D,54114,False,,48.0
2000550119A,385954,False,,49.0
2000550119A,52381,True,,50.0
2000550119A,1209,True,,51.0
2000550119A,107356,True,,52.0
766163D,429838,True,,53.0
299636E,11180,True,,54.0
189446B,80427,True,,55.0
1322181A,73188,False,,56.0
2000970416A,68406,False,,57.0
2000401195D,380814,True,,58.0
2289542A,239303,False,,59.0
2019134E,63689,True,,60.0
1064274D,4897,False,,61.0
1637965C,373334,True,,62.0
2002802520C,258133,False,,63.0
2002602259D,45809,True,,64.0
2001818660C,76560,False,,65.0
2002256672A,391024,True,,66.0
805962D,100665,True,,67.0
433908D,193141,True,,68.0
2002288444C,98993,True,,69.0
2001808677D,104086,False,,70.0
1266476B,88646,False,,71.0
2002237678A,16570,True,,72.0
2293638A,52680,False,,73.0
2001915655B,480112,True,,74.0
2001415894B,176016,False,,75.0
1543417C,48635,True,,76.0
236349B,129125,True,,77.0
2000678936B,114575,False,,78.0
402990C,184967,True,,79.0
2002788192D,23370,True,,80.0
843968C,145451,True,,81.0
2001432321B,22782,False,,82.0
2001826168D,333876,True,,83.0
2001826168D,15741,True,,84.0
2001826168D,9023,False,,85.0
2001826168D,262990,True,,86.0
2659614B,59528,True,,87.0
119426E,73283,True,,88.0
240012D,139724,False,,89.0
1719428C,235379,False,,90.0
1205448D,385946,False,,91.0
325951D,380480,True,,92.0
2432120C,59528,False,,93.0
347107A,131914,False,,94.0
347107A,40057,True,,95.0
347107A,143049,False,,96.0
1336864B,232030,True,,97.0
2001996781C,22782,True,,98.0
529021D,357655,True,,99.0
469683A,52624,True,,100.0
2000915800D,503921,False,,101.0
2000337197D,30664,False,,102.0
2058155B,149110,True,,103.0
1837059D,66229,True,,104.0
1837059D,307493,True,,105.0
1235548E,126979,True,,106.0
1235548E,50844,False,,107.0
1651258C,18902,True,,108.0
126663B,271940,True,,109.0
261369D,93651,False,,110.0
975468D,105016,True,,111.0
975468D,112941,True,,112.0
975468D,182629,True,,113.0
2001962375A,80156,False,,114.0
421238D,77623,False,,115.0
2001608430D,20956,True,,116.0
2001608430D,373058,False,,117.0
124710D,176016,False,,118.0
1802640303B,258751,False,,119.0
886420B,40022,True,,120.0
605696E,167885,True,,121.0
2706452B,19844,True,,122.0
2706452B,10922,True,,123.0
2002493577B,130055,True,,124.0
2002493577B,127646,False,,125.0
2001839320B,124343,True,,126.0
2001736804E,340610,False,,127.0
2629923C,377716,True,,128.0
441346E,28148,False,,129.0
2002230115E,13467,False,,130.0
41229584B,352318,True,,131.0
2002211262E,27208,True,,132.0
394378A,41377,True,,133.0
394378A,24559,True,,134.0
1802455392A,252241,True,,135.0
27588B,191322,True,,136.0
274768B,101600,True,,137.0
2869716E,49014,True,,138.0
506334B,106146,False,,139.0
270173B,63828,True,,140.0
2001343295B,34499,False,,141.0
270196C,88646,False,,142.0
2001967985D,94609,True,,143.0
1800250516E,94781,False,,144.0
1874846B,285466,True,,145.0
1874846B,356112,True,,146.0
2002734897A,40339,False,,147.0
847796B,22782,True,,148.0
2281853E,392569,False,,149.0
310178E,9780,False,,150.0
310178E,121490,True,,151.0
2001830620A,286157,True,,152.0
2223740C,69612,False,,153.0
384088A,451348,True,,154.0
2001681092B,27208,True,,155.0
222617E,86338,True,,156.0
222617E,40106,False,,157.0
222617E,145799,False,,158.0
1201973D,420398,False,,159.0
186233B,392591,True,,160.0
2487466B,73166,True,,161.0
2652673A,132765,False,,162.0
77356D,42499,False,,163.0
2488582C,85839,False,,164.0
1938485D,25587,True,,165.0
2001154028B,201904,True,,166.0
2001404475A,314560,True,,167.0
2001267014A,131018,False,,168.0
572039D,95086,True,,169.0
207183C,190872,True,,170.0
2944495B,270932,False,,171.0
2002378808C,147574,True,,172.0
155091A,3595,True,,173.0
155091A,7751,True,,174.0
2001396206C,46797,True,,175.0
2001119576A,101568,False,,176.0
2001826298A,30366,False,,177.0
1071585E,59231,True,,178.0
2001250170D,50767,True,,179.0
44933574A,459093,False,,180.0
332786D,104628,True,,181.0
332786D,188010,False,,182.0
726484A,141287,False,,183.0
726484A,30366,False,,184.0
726484A,332822,True,,185.0
726484A,235962,True,,186.0
2001454894E,26217,False,,187.0
600112E,207081,True,,188.0
2002216665C,404889,True,,189.0
1570211A,14200,True,,190.0
2001886997E,183582,True,,191.0
202260E,1209,True,,192.0
202260E,192597,False,,193.0
2376080C,90529,False,,194.0
2093071C,186273,True,,195.0
91962B,4627,False,,196.0
91962B,22782,False,,197.0
2002057291A,10146,True,,198.0
2001397516E,192282,False,,199.0
2812270C,450527,True,,200.0
2002870726D,60350,False,,201.0
16272C,44995,True,,202.0
166164C,9836,True,,203.0
2001923768A,226118,True,,204.0
597699C,160307,True,,205.0
2000307114B,225416,False,,206.0
716424C,202833,False,,207.0
1803404080E,443024,True,,208.0
1458767B,276911,False,,209.0
1458767B,186412,False,,210.0
1458767B,151130,False,,211.0
188691D,393491,True,,212.0
2001836683B,11971,True,,213.0
2001442328A,57969,False,,214.0
461392E,181181,True,,215.0
2505244D,147411,True,,216.0
885711E,62856,True,,217.0
2000543121E,27208,True,,218.0
2000543121E,72613,True,,219.0
2001189854D,152347,True,,220.0
2001189854D,916,False,,221.0
2001189854D,130244,False,,222.0
2001156081B,182036,False,,223.0
231662E,202420,True,,224.0
183355A,518280,True,,225.0
2002461461E,26370,True,,226.0
1710118B,67117,True,,227.0
1984908B,261889,True,,228.0
240262A,364208,False,,229.0
1802455927B,26793,False,,230.0
2001466790B,54681,True,,231.0
